Poster,Content,Thread,Gender,Location,Political_leaning,Subjectivity,Polarity
weaver2,"Cameron saidA simple look at the differen stages of fetus developmen demonstrates why this makes sense.  A fetus does not begin to resemble a human being unil about the fourth monh.  91% of abortions are performed at less than 13 weeks gestation.  Another 7.7% are performed between 14-20 weeks.  My suspicion is that the vast majority of the remaining 1.3% are undertaken for medical reasons.I believe that ""life"" begins at conception, but no one will ever convince me that aborting a form of life the shape and size of a pea is in any way equivalen to killing a human baby, as opposed to many other forms of life which we humans take for various reasons every day without bating an eye.Although I know it's uncomfortable, I think people should also keep in mind that by some estimates 57 million abortions have occurred since Roe v. Wade.  If all of those pregnancies had come to term, that is an additional 57 million unwaned children, many or even most of them born ino poor, often single-paren households, to have grown up with very litle private or public resources.  Anyone who thinks that a policy prohibiting abortion will not have incredibly serious and negative social and economic consequences for this counry is fooling himself/herself.Click to expand...Thank God for the  voices of reason and rationality.",25,,Oregon,,0.3654195011337868,0.005158730158730159
Mashmon,"As you may have guessed, this was one screwed-up individual.  This story is old, but it's still out there.Irene Vilar worries that her self-described ""abortion addiction"" will be misunderstood, twisted by the pro-life movemen to deny women the right to choose.Her book, ""Impossible Motherhood,"" which will be released by Other Press on Oct. 6, chronicles her own dark choices: 15 abortions in 16 yearsAbortion Addict Confesses 15 Procedures in 16 YearsAbortion addict describes shocking reproductive past as health experts struggle with why women have multiple unwaned pregnancies. abcnews.go.comShe came from a broken home, drugs all around, mother commited suicide, her grandmother who raised her was a terrorist. She wrote a book detailing her abortions, and instead of having to hide her head in shame, she was exalted and given awards by the left.  You can see the fawning piece by Marxist ABC.   The more messed-up the individual, the more the left extols them.I think it's safe to say anyone who has an abortion has had some serious dysfunction in their upbringing. It takes a lot of moral decay and descen to get to that poinThe good news? Women can turn it around. I have know several pro-life activisits who once had abortions themselves.",26,Male,,Conservative,0.43207671957671967,-0.02440476190476189
Hari Seldon,Story from 2009.  Great job mash. LOL!,26,Male,New York,Liberal,0.75,0.8
Mashmon,"Hari Seldon saidStory from 2009.Click to expand...Yeah, I said it was old.  Did you read?ABC was emboldened by 0bama  to put this in a positive light, I guess.  But the story is so shocking and so sick.  I guess that's why it's still out there.",26,Male,,Conservative,0.7756493506493506,-0.27175324675324675
Logician Man,"Mashmon saidAs you may have guessed, this was one screwed-up individual.  This story is old, but it's still out there.Irene Vilar worries that her self-described ""abortion addiction"" will be misunderstood, twisted by the pro-life movemen to deny women the right to choose.Her book, ""Impossible Motherhood,"" which will be released by Other Press on Oct. 6, chronicles her own dark choices: 15 abortions in 16 yearsAbortion Addict Confesses 15 Procedures in 16 YearsAbortion addict describes shocking reproductive past as health experts struggle with why women have multiple unwaned pregnancies. abcnews.go.comShe came from a broken home, drugs all around, mother commited suicide, her grandmother who raised her was a terrorist. She wrote a book detailing her abortions, and instead of having to hide her head in shame, she was exalted and given awards by the left.  You can see the fawning piece by Marxist ABC.   The more messed-up the individual, the more the left extols them.I think it's safe to say anyone who has an abortion has had some serious dysfunction in their upbringing. It takes a lot of moral decay and descen to get to that poinThe good news? Women can turn it around. I have know several pro-life activisits who once had abortions themselves.Click to expand...FACT is: Had it not been for Conservative SCOTUS members, abortions would still be illegal in the United States.",26,Male,Where I'm Needed,Independen,0.4356516290726818,-0.049436090225563896
Mashmon,"Logician Man saidFACT is: Had it not been for Conservative SCOTUS members, abortions would still be illegal in the United States.Click to expand...No conservatives voted for this disaster.",26,Male,,Conservative,0.5,-0.5
beefheart,"Mashmon saidAs you may have guessed, this was one screwed-up individual.  This story is old, but it's still out there.Irene Vilar worries that her self-described ""abortion addiction"" will be misunderstood, twisted by the pro-life movemen to deny women the right to choose.Her book, ""Impossible Motherhood,"" which will be released by Other Press on Oct. 6, chronicles her own dark choices: 15 abortions in 16 yearsAbortion Addict Confesses 15 Procedures in 16 YearsAbortion addict describes shocking reproductive past as health experts struggle with why women have multiple unwaned pregnancies. abcnews.go.comShe came from a broken home, drugs all around, mother commited suicide, her grandmother who raised her was a terrorist. She wrote a book detailing her abortions, and instead of having to hide her head in shame, she was exalted and given awards by the left.  You can see the fawning piece by Marxist ABC.   The more messed-up the individual, the more the left extols them.I think it's safe to say anyone who has an abortion has had some serious dysfunction in their upbringing. It takes a lot of moral decay and descen to get to that poinThe good news? Women can turn it around. I have know several pro-life activisits who once had abortions themselves.Click to expand...So whatIf you don't like abortions, don't have one.",26,Male,,Moderat,0.43207671957671967,-0.02440476190476189
Logician Man,"Mashmon saidNo conservatives voted for this disaster.Click to expand...I know many more Conservatives that have received abortions than Democrats, and most of those who received abortions I know are Catholics. Full disclosure: I do live in a city that was voted the most conservative city in the USA due to all of the religious foundations based here.",26,Male,Where I'm Needed,Independen,0.4714285714285714,0.3551948051948052
Mashmon,"Logician Man saidI know many more Conservatives that have received abortions than Democrats, and most of those who received abortions I know are Catholics.Click to expand...Right.  The people who oppose abortion are having them, and those who are all for abortion, aren't having them.Nobody believes your insane BS claim.",26,Male,,Conservative,0.625,0.125
Logician Man,"ReplyMashmon saidRight.  The people who oppose abortion are having them, and those who are all for abortion, refuse to have them.Nobody believes your BS claim.Click to expand...Correction: The people who'profess' to oppose abortion. I know my truth ( and the truth of those who have confided in me ): you don't. ( FACT ) SIDE NOTE: I didn't say'all' are for abortion. Those are your words, and YOU are accounable for YOUR words; no one else.",26,Male,Where I'm Needed,Independen,0.0,0.0
Mashmon,"beefheart saidSo whatIf you don't like abortions, don't have one.Click to expand...""If you don't like guns, don't buy one.""If you don't believe in armed robbery, don't commit armed robbery.""If you don't believe in rape, don't commit rape.",26,Male,,Conservative,0.0,0.0
beefheart,"Mashmon said""If you don't like guns, don't buy one.""If you don't believe in armed robbery, don't commit armed robbery.""If you don't believe in rape, don't commit rape.Click to expand...Abortion isn't a crime.Get over it",26,Male,,Moderat,0.0,0.0
Mashmon,"Logician Man saidReplyCorrection: The people who'profess' to oppose abortion. I know my truth ( and the truth of those who have confided in me ): you don't. ( FACT ) SIDE NOTE: I didn't say'all' are for abortion. Those are your words, and YOU are accounable for YOUR words; no one else.Click to expand...So all these conservative Catholic women are confiding to an old atheist guy about their abortions.  RIGHT.",26,Male,,Conservative,0.31785714285714284,0.14285714285714285
Mashmon,beefheart saidAbortion isn't a crime.Get over itClick to expand...THAT'S the whole poin of the abortion debate.  WE believe it should illegal.  Now you're geting it,26,Male,,Conservative,0.45,-0.15
Logician Man,"Mashmon saidSo all these conservative Catholic women are confiding to an old atheist guy about their abortions.  RIGHT.Click to expand...Like I said, I know my truth; YOU DON'T!.......End of story... you lose again",26,Male,Where I'm Needed,Independen,0.1,0.0
JasperL,"Logician Man saidReplyCorrection: The people who'profess' to oppose abortion. I know my truth ( and the truth of those who have confided in me ): you don't. ( FACTClick to expand...Right - we have a ""pro-life"" Congressman from TN, DesJarlais, who was so pro-life when his girlfriend, a patien (he was a doctor at the time - she was one of two patiens he had sexual affairs with) got pregnan, he tried to send her to Atlana to get an abortion, because he's pro-life or something.  And of course the good pro-life constituens keep him in office, because they are so pro-life, you know. More evidence he's pro-life is his wife had two abortions. And of course he's a liar, and a serial adulterer, because he's a Trump era Republican and that's a feature, not a flaw!",26,Male,Tenessee,,0.6666666666666667,0.5
Logician Man,"Mashmon saidTHAT'S the whole poin of the abortion debate.  WE believe it should illegal.  Now you're geting itClick to expand...You also believe abortion is'murder.' FACT: abortion is NOT murder. Have you considered puting your emotions aside long enough to understand the FACTS about abortion, as opposed to murder?",26,Male,Where I'm Needed,Independen,0.45,-0.0875
Logician Man,"JasperL saidRight - we have a ""pro-life"" Congressman from TN, DesJarlais, who was so pro-life when his girlfriend, a patien (he was a doctor at the time - she was one of two patiens he had sexual affairs with) got pregnan, he tried to send her to Atlana to get an abortion, because he's pro-life or something.  And of course the good pro-life constituens keep him in office, because they are so pro-life, you know. More evidence he's pro-life is his wife had two abortions. And of course he's a liar, and a serial adulterer, because he's a Trump era Republican and that's a feature, not a flaw!Click to expand...One of many stories one can find and share from all over the nation/planet on any given day which debunks Mashmon's silly positive claims.",26,Male,Where I'm Needed,Independen,0.6507575757575758,0.24545454545454545
beefheart,Mashmon saidTHAT'S the whole poin of the abortion debate.  WE believe it should illegal.  Now you're geting itClick to expand...You wan a theocracy.We wan freedom,26,Male,,Moderat,0.45,-0.15
Mashmon,"Logician Man saidYou also believe abortion is'murder.' FACT: abortion is NOT murder. Have you considered puting your emotions aside long enough to understand the FACTS about abortion, as opposed to murder?Click to expand...I never said it was murder, as murder is a legal term.",26,Male,,Conservative,0.3666666666666667,0.05000000000000001
Mashmon,beefheart saidYou wan a theocracy.We wan freedomClick to expand...You call a woman killing 15 of her babiesxe2x80x9cfreedomxe2x80x9d?   I call it horrific massacre.,26,Male,,Conservative,1.0,-1.0
Logician Man,"Mashmon saidI never said it was murder, as murder is a legal term.Click to expand...Just for clarification: Are you now going on DP record as stating abortion is NOT murder? YES or NO is all that is required.",26,Male,Where I'm Needed,Independen,0.2,0.2
Mashmon,OK. Ixe2x80x99ve said what I needed to say here. No more responses please.  Thanks.,26,Male,,Conservative,0.35,0.35
Logician Man,"Mashmon saidYou call a woman killing 15 of her babiesxe2x80x9cfreedomxe2x80x9d?   I call it horrific massacre.Click to expand...'Killin' 15 babies would be a'mass murder' by definition. Aborting 15 fetuses is as legal as buying groceries, or the right to practice any religion one chooses to embrace per U.S.law.",26,Male,Where I'm Needed,Independen,0.5785714285714286,-0.17142857142857146
Logician Man,"Mashmon saidOK. Ixe2x80x99ve said what I needed to say here. No more responses please.  Thanks.Click to expand...Sorry, Mashmon. You don't get to dictate as to who responds as they see fit within the posted DP rule guidelines.",26,Male,Where I'm Needed,Independen,0.5,0.5
beefheart,Mashmon saidYou call a woman killing 15 of her babiesxe2x80x9cfreedomxe2x80x9d?   I call it horrific massacre.Click to expand...Don't have one.Your god abort more fetuses than that in one day.,26,Male,,Moderat,0.75,-0.25
watsup,"Some news concerning our rabidly ani-abortion PresidenTrumpxe2x80x99s anibody treatmen was tested using cells originally derived from an abortionThis week, Presiden Donald Trump extolled the cuting-edge coronavirus treatmens he received asxe2x80x9cmiracles coming down from God.xe2x80x9d If thatxe2x80x99s true, then God employs cell lines derived from human fetal tissue. The emergency anibody that Trump received last week was developed with the use of a...www.technologyreview.com",27,Male,Springfield MO,Liberal,0.35925925925925933,0.11157407407407406
Blue Donkey,"It seems everyone who claims to be a pro-lifer is unable to provide a single shred of factual evidence that the mother's quality of life is completely irrelevan, then has no inerest in what happens to the baby: abuse, neglect, lacking a home, never being adopted, etc. You are not a pro-lifer if all you care about is the mere existence of unwaned babies, not every baby's life. You know what can happen to babies who should not exist today because the mothers had tried to avoid geting pregnan nine monhs earlier. If you were taught anything about female puberty in school, you know girls can get pregnan when they are in fifth grade. If you ever suffered the problems pregnan women have literally every day just because they are pregnan, there is no reason to wish that on women who tried to avoid conceiving offspring. It is not about nine monhs versus a whole life, but nine monhs and a whole life.",28,Female,"Gainesville, Florida",Liberal,0.3851190476190476,-0.07142857142857142
Josie,"Do any ""pro-lifers"" care about the mothers and babies?You've made it quite known on this forum that you think all pro-lifers hate women and born children.  What would be the poin in trying to convince you otherwise?  You're set in your ways - you're set in your opinions.",28,Female,,Libertarian - Right,0.9,-0.8
soylengreen,"Josie saidDo any ""pro-lifers"" care about the mothers and babies?You've made it quite known on this forum that you think all pro-lifers hate women and born children.  What would be the poin in trying to convince you otherwise?  You're set in your ways - you're set in your opinions.Click to expand...It is not ""what would be the poin""  It is ""can you make a poinNo mater how set in their ways a pro lifer is. It is still easy enough to sink any argumen they make and make them look foolish.Whether they accept their defeat or not is irrelevan even expected.but the best a pro lifer can do is as you have done.  Nothing.",28,Male,ew zealand.,Other,0.5866666666666667,0.10666666666666666
OceanBlues1,"Do any ""pro-lifers"" care about the mothers and babies?Personally, I don't think so.  From all I have read in their posts, it appears ""pro-lifers"" care far more about forcing women to stay pregnan and give birth as punishmen for choosing to have sex, which is basically conrolling women,  than anything else.",28,Female,,,0.5,0.5
MamboDervish,"Josie saidDo any ""pro-lifers"" care about the mothers and babies?You've made it quite known on this forum that you think all pro-lifers hate women and born children.  What would be the poin in trying to convince you otherwise?  You're set in your ways - you're set in your opinions.Click to expand...Why bother to respond with a non-response?",28,Male,The Big Apple,Progressive,0.9,-0.8
Guyzilla,"Prolifers, wan to atack abortion on a state basis. Thus, they can drive out the MINORITY women, by their harsh SYSTEMIC RACISM, who will get abortions in blue states. Thus, the white women in those red states, will be forced to have their WHITE children. For as Oreilly said, WHITE FOLKS are not reproducing fast enough. The plan is to pack red states with white folks, so that at least on a state basis, they can remain the dominan culture.",28,Male,menifee calif.,Liberal,0.25,-0.06
Dayton,"Guyzilla saidProlifers, wan to atack abortion on a state basis. Thus, they can drive out the MINORITY women, by their harsh SYSTEMIC RACISM, who will get abortions in blue states. Thus, the white women in those red states, will be forced to have their WHITE children. For as Oreilly said, WHITE FOLKS are not reproducing fast enough. The plan is to pack red states with white folks, so that at least on a state basis, they can remain the dominan culture.Click to expand...Not saying this is part of any plan but what is wrong with it?   I've heard people advocating for minorities for years bragging about how whites will one day be a minority and that then they (blacks, Hispanics) will ""rule"".",28,Male,"Smackover, AR.",Very Conservative,0.3090909090909091,-0.1
Dayton,"Blue Donkey saidIt seems everyone who claims to be a pro-lifer is unable to provide a single shred of factual evidence that the mother's quality of life is completely irrelevan, then has no inerest in what happens to the baby: abuse, neglect, lacking a home, never being adopted, etc. You are not a pro-lifer if all you care about is the mere existence of unwaned babies, not every baby's life. You know what can happen to babies who should not exist today because the mothers had tried to avoid geting pregnan nine monhs earlier. If you were taught anything about female puberty in school, you know girls can get pregnan when they are in fifth grade. If you ever suffered the problems pregnan women have literally every day just because they are pregnan, there is no reason to wish that on women who tried to avoid conceiving offspring. It is not about nine monhs versus a whole life, but nine monhs and a whole life.Click to expand...The problem to me is when the ""quality of life"" argumen is mean to mean ""shovel huge amouns of money at them",28,Male,"Smackover, AR.",Very Conservative,0.4546626984126984,-0.0663690476190476
Bullseye,"Blue Donkey saidIt seems everyone who claims to be a pro-lifer is unable to provide a single shred of factual evidence that the mother's quality of life is completely irrelevan, then has no inerest in what happens to the baby: abuse, neglect, lacking a home, never being adopted, etc. You are not a pro-lifer if all you care about is the mere existence of unwaned babies, not every baby's life. You know what can happen to babies who should not exist today because the mothers had tried to avoid geting pregnan nine monhs earlier. If you were taught anything about female puberty in school, you know girls can get pregnan when they are in fifth grade. If you ever suffered the problems pregnan women have literally every day just because they are pregnan, there is no reason to wish that on women who tried to avoid conceiving offspring. It is not about nine monhs versus a whole life, but nine monhs and a whole life.Click to expand... ""Quality of life""?  Seriously?  I'm prety sure she knew the risk of having unprotected sex and took it willingly.  There are any number of conraceptive methods available.Also, not all ""surprise babies"" are mistreated or abused.",28,Male,San Diego,Other,0.4572089947089946,-0.012896825396825387
weaver2,"Josie saidDo any ""pro-lifers"" care about the mothers and babies?You've made it quite known on this forum that you think all pro-lifers hate women and born children.  What would be the poin in trying to convince you otherwise?  You're set in your ways - you're set in your opinions.Click to expand...And you've made no effort to presen a view that you do care about mothers and children",28,,Oregon,,0.9,-0.8
Josie,weaver2 saidAnd you've made no effort to presen a view that you do care about mothers and childrenClick to expand...I have.  Over and over and over and over again.  It doesn't mater to most pro-choicers.  They wan to believe what they wan to believe.,28,Female,,Libertarian - Right,0.0,0.0
weaver2,"weaver2 saidAnd you've made no effort to presen a view that you do care about mothers and childrenClick to expand...That was an instan,  irritated pop-off answer.  Let me re-phrase it.  Pro-life advocates have shown very litle evidence that they understand or care to understand about women faced with unplaned,  unwaned  pregnancies or the children born from them.  In fact it's safe to say that no pro-life advocate has ever posted anything that indicates they care at all  about women faced with such pregnancies other than to claim they shouldn't be having sex if they can't support a child.  You seem to think you have shown tremendous empathy for women and children.  Your posts say that empathy is not extended to  women faced with an unwaned pregnancy that will harm, may even destroy  her already born  family.The only reason abortion proponens call unborn offspring ""clumps of cells"" is to try to take the emotion of it so they feel beter about killing a young human. You can't take emotions out of it. You can lie to yourself and say that it's just like a tumor or a parasite, but that's just what it is -- lying. Geting pregnan is emotional. Being pregnan is emotional. Thinking about your unborn is emotional. Feeling your unborn grow inside of you is emotional. If you see nothing emotional about killing your unborn child then you're either exceptionally ignoran of basic biology or you're some kind of sociopath.Click to expand...Josie said'm sorry -- are you under the impression that Planed Parenhood is the only way for women to get medical care?Because, just like emotions, race can't be eliminated from the topic.  So only born black lives mater.  RightYes, emotions are always higher on the pro-life side because we DON'T ignore the facts.  We know a ZEF is a human and we find it abhorren that some people think those humans are property to be tossed away like trash.Incorrect.  Pro-choicers atempt to eliminate emotion from the conversation enirely.  When bringing up biological facts about fetal developmen, pro-choicers say you can't do that because it's an ""emotional plea.""  If I say that a 14-week gestation fetus has eyes, arms, legs, fingers, toes, pro-choicers don't wan to hear it -- it's an ""emotional plea.""  Hell yeah it's emotional.  It's a HUMAN - a CHILD- a litle baby.  Pro-choicers don't wan to think about a fetus having arms, legs, fingers, toes, eyes -- they wan to pretend that it's just a blob so that they don't feel that natural emotion.  Pro-choicers almost never admit that a ZEF is a human.  They say a ZEF is just a ""clump of cells,"" ""like a tumor,"" ""parasite"" or just a part of the mother's body when everyone who wen through 5th grade health class know that's not true.Click to expand...Do you not see the irony in your own reply here? You say that this election is about saving lives, but are perfectly okay with some lives being snuffed out because they ""never should have existed"" in the first place. So which is it? You wan to save human lives or you're okay with some of them dying because they weren't supposed to exist? Do you know how many of those lives who ""never should have existed"" are black? Don't they mater?Click to expand...(On PP)..... they also end the lives of millions of humans which is abhorrenClick to expand...Originally Posted by GDVikinGood after he is elected he can take the money from trumps failed wall and return funding to planed parenhood and preven more abortions.The idiots runing around screaming about ""baby killers"" completely ignore the fact that planed parenhood prevens far more unwaned pregnancies than they terminate.You wan to preven abortions, preven unwaned pregnancies.They treat abortion as the last optionThey are involved in education and distribution of conraceptives, and std prevenionFor many young women they are their only option for feminine healthcare.Originally Posted by JosieWhy do I never see pro-choicers here call out people on your side who say idiotic things like this?Click to expand...   What's idiotic about GDVikin's  post???????",28,,Oregon,,0.522463768115942,0.04692028985507246
Blue Donkey,"Bullseye said""Quality of life""? Seriously? I'm prety sure she knew the risk of having unprotected sex and took it willingly. There are any number of conraceptive methods available.Also, not all ""surprise babies"" are mistreated or abused.Click to expand...You inenionally ignored this part: ""The mothers had tried to avoid geting pregnan nine monhs earlier."" The mother was either raped or using a form of conraception if the pregnancy was uninenional. I have no idea how you can assume I included people who chose to have unprotected sex with their parters.Of course not all unwaned children are abused, neglected, or homeless. But the reality is people like Colin Kaepernick are exceptions. What is most likely to happen? What usually happens? I wan to see unbiased data that show what really happens to most children who were never waned by their own parens or anyone else.",28,Female,"Gainesville, Florida",Liberal,0.5839506172839506,0.15185185185185185
Bullseye,"Blue Donkey saidYou inenionally ignored this part: ""The mothers had tried to avoid geting pregnan nine monhs earlier."" The mother was either raped or using a form of conraception if the pregnancy was uninenional. I have no idea how you can assume I included people who chose to have unprotected sex with their parters.Of course not all unwaned children are abused, neglected, or homeless. But the reality is people like Colin Kaepernick are exceptions. What is most likely to happen? What usually happens? I wan to see unbiased data that show what really happens to most children who were never waned by their own parens or anyone else.Click to expand...  Only the most hard core pro-lifers don't accept abortion for rape or incest or if the mother's life is in danger.   Most polls I've seen have 10-20% bands on either end, e.g. no abortion EVER or Abort'r' Us shops on every corner.   Most, as I said are more reasonable",28,Male,San Diego,Other,0.5136904761904763,0.20416666666666666
Josie,"weaver2 saidThat was an instan,  irritated pop-off answer.  Let me re-phrase it.  Pro-life advocates have shown very litle evidence that they understand or care to understand about women faced with unplaned,  unwaned  pregnancies or the children born from them.  In fact it's safe to say that no pro-life advocate has ever posted anything that indicates they care at all  about women faced with such pregnancies other than to claim they shouldn't be having sex if they can't support a child.  You seem to think you have shown tremendous empathy for women and children.  Your posts say that empathy is not extended to  women faced with an unwaned pregnancy that will harm, may even destroy  her already born  family.Click to expand...There are hundreds (if not thousands) of charities run by pro-life people that are designed to help women who are facing a pregnancy they aren't financially or emotionally ready for.  I support them as do many of my pro-life friends.  I am a teacher of very young studens.  I care very deeply about them and have financially supported their families often. I keep extra food in case one of my studens didn't get supper or breakfast or both.  I let them sleep when I can tell they were up all night long because their moron parens don't make them go to bed or showed them scary movies that keep them awake all night or they have some sort of turmoil going on at home.  I have purchased school supplies and clothing for my studens.  I have cried with my studens who are emotionally distraught and devastated.To say that pro-lifers don't care about born children is gross generalization that isn't at all what the majority of pro-lifers think or believe.  I'm sure there are a few idiots out there who hate children, but they certainly aren't any pro-lifers I've ever metWhat's idiotic about GDVikin's  post???????Click to expand...If you would've left the link in place, I could've gone back to find the exact conversation.  My response to GD was him saying a fetus isn't even alive unil it's born.   Which, as we all should know, is idiotic.",28,Female,,Libertarian - Right,0.507384004884005,-0.10695054945054945
Blue Donkey,"weaver2 saidWhat's idiotic about GDVikin's  post???????Click to expand...Absolutely nothing, obviously. GDV could not have expressed it any beter. It is very unfortunate that many ani-choicers refuse to accept those facts about Planed Parenhood.",28,Female,"Gainesville, Florida",Liberal,0.7777777777777778,-0.4388888888888889
Blue Donkey,"Bullseye saidOnly the most hard core pro-lifers don't accept abortion for rape or incest or if the mother's life is in danger.   Most polls I've seen have 10-20% bands on either end, e.g. no abortion EVER or Abort'r' Us shops on every corner.   Most, as I said are more reasonableClick to expand...Unfortunately I know some people on the ""no abortions ever"" end.",28,Female,"Gainesville, Florida",Liberal,0.5083333333333333,0.3416666666666667
Josie,"Blue Donkey saidUnfortunately I know some people on the ""no abortions ever"" end.Click to expand...Just like some people are on the infanicide level.  There are extremists on both sides.",28,Female,,Libertarian - Right,0.1,0.0
Bullseye,"Blue Donkey saidUnfortunately I know some people on the ""no abortions ever"" end.Click to expand...Me, too.  But they're few and far between.  Maybe of the righties I know tend to be fiscal/defense conservative but socially liberal - at least somewhat",28,Male,San Diego,Other,0.18888888888888888,-0.08888888888888889
weaver2,"Josie saidThere are hundreds (if not thousands) of charities run by pro-life people that are designed to help women who are facing a pregnancy they aren't financially or emotionally ready for.  I support them as do many of my pro-life friends.  I am a teacher of very young studens.  I care very deeply about them and have financially supported their families often. I keep extra food in case one of my studens didn't get supper or breakfast or both.  I let them sleep when I can tell they were up all night long because their moron parens don't make them go to bed or showed them scary movies that keep them awake all night or they have some sort of turmoil going on at home.  I have purchased school supplies and clothing for my studens.  I have cried with my studens who are emotionally distraught and devastated.To say that pro-lifers don't care about born children is gross generalization that isn't at all what the majority of pro-lifers think or believe.  I'm sure there are a few idiots out there who hate children, but they certainly aren't any pro-lifers I've ever metIf you would've left the link in place, I could've gone back to find the exact conversation.  My response to GD was him saying a fetus isn't even alive unil it's born.   Which, as we all should know, is idiotic.Click to expand...In the post you responded to I did not say pro-life advocates did not care about children or mothers.  You are obviously a very caring day care provider.  What I said was that pro-life advocates didn't show any empathy or  understanding for women facing unwaned pregnancies.  The major shortcomings of Catholic and evangelical crisis pregnancy ceners  have been prety thoroughly exposed for what they really are, birth and adoption ceners masquerading as medical clinics. I'm sure you and other voluneers feel very moral every time you chalk up  a new baby to your list of mothers who waned an abortion but mistakenly wandered ino your ""clinic"" and was assured that they would receive all the help they could possibly need.     I can go ino this further if you wish.However empathic you and  others are about the children of  your own kind quite frankly pro-life posts indicate that nobody  gives a **** about the already born children of women making the decision to get abortions.  I'd be glad to read any post you can find from a pro-lifer that shows one drop of human kindness toward the 75% of the pregnan women and their families living at or below the poverty line that are facing deeper maybe even permanen poverty status if a a child or  additional child is brought ino the family situationIs this GDVikin's line that caused you to call him an idiot?  ""Oh if it's not breathing it's not alive, and every miscarriage/abortion is God's will. He obviously did not wan that thing to become alive...""   I left it out because it's sarcasm.  I had no idea you took that seriously.  Apparenly the  lack of empathy gene  for poor women facing an unwaned pregnancy is paired with an absence of the  sarcasm detection gene.",28,,Oregon,,0.47194546194546194,-0.04010378510378511
smallvoice,"Josie saidDo any ""pro-lifers"" care about the mothers and babies?You've made it quite known on this forum that you think all pro-lifers hate women and born children.  What would be the poin in trying to convince you otherwise?  You're set in your ways - you're set in your opinions.Click to expand...Thank you Josie. Miss BlueJackass seems to have the erroneous idea that the governmen, or Pro-lifers, have an obligation to raise her kid if ""she"" decides not to abort itShe seems to think that ""...girls can get pregnan when they are in fifth grade"" through some magical occurrence.  She seems to think that others should have an inerest in what happens to the baby: abuse, neglect, lacking a home, never being adopted, etc.  She seems to forget that it is HER problem, and NO ONE ELSE.  Have they stopped teaching personal responsibility?",28,Male,God's counry,Conservative,0.7,-0.2
weaver2,"smallvoice saidThank you Josie. Miss BlueJackass seems to have the erroneous idea that the governmen, or Pro-lifers, have an obligation to raise her kid if ""she"" decides not to abort itShe seems to think that ""...girls can get pregnan when they are in fifth grade"" through some magical occurrence.  She seems to think that others should have an inerest in what happens to the baby: abuse, neglect, lacking a home, never being adopted, etc.  She seems to forget that it is HER problem, and NO ONE ELSE.  Have they stopped teaching personal responsibility?Click to expand...Please give the exact posts from which you got these commens by Blue.  I have read most of what she has posted and I don't believe I've seen anything  like any of  the above you say she has posted.",28,,Oregon,,0.4071428571428572,0.10714285714285714
weaver2,"The Lutheran Church-Missouri Synod, What About Abortion (PDFIsnxe2x80x99t abortion acceptable in the case of rape or incestWhile the emotional argumens for abortion in these situ- ations might seem compelling,the fact of the mater is that it is wrong to take the life of one inocen victim (the unborn child), and further burden the life of the other victim of these horrible situations, the mother. It is indeed a strange logic that would have us kill an inocen unborn baby for the crime of his father.National Association of Evangelicals refuses to make its official position on abortion public.""But while society is finally recognizing that rape is an act of violence against an inocen victim, it still fails to recognize that abortion is also an act of violence against another inocen victim.  If the woman does become pregnan, a rare but possible occurrence, she may be made to feel twice as tained when society is not prepared to cope with the circumstances of this child's conception. Counselors and abortion providers encourage abortion as the perfect ""solutionIrrationally, society expects her to kill her unborn child, not for something the child has done, but for the crime of his/her father. Once again the mother is pited against her child.Subjecting her to an abortion only compounds the initial violence of the rape.Rape, Incest, Fetal Abnormality :: Catholic News AgencyBoth Real Marriage and When God Writes Your Love Story have chapters where they tell the story of someone who suffers from rape or sexual assaultxe2x80xa6..Both books describe rape/sexual assault and consensual sex as having similarxe2x80x9cconsequences.xe2x80x9d When God Writes Your Love Story tells the story of a twelve-year-old girl who is raped by an older boy. This story is immediately followed by the story of a college- aged couple who decide to have consensual sex. Both stories emphasizexe2x80x9clost virginitxe2x80x9d (Ludy & Ludy, 2009, p. 235), but do not poin out the difference between two peopleThe Journal of Inegrated Social Sciences ~ ISSN 1942-1052 ~ Volume 4(1) 2014 - 68 Both books emphasize leting Jesusxe2x80x9cwash you clean, white as snow, and give you a fresh startxe2x80x9d (Ludy & Ludy, 2009, p. 245).xe2x80x9cYOU ARE NOT YOUR OWNxe2x80x9dRAPE, SEXUAL ASSAULT, AND CONSENT IN EVANGELICAL CHRISTIAN DATING BOOKS:  htp://www.jiss.org/documens/volume_4/issue_1/JISS 2014 4(1) 55-74 Christian Dating Books.pdfThe New Religious RightThe SBC (Southern Baptist Convenion)voted against ordination of women, the right to an abortion (even in the case of rape or incest), and with it calledxe2x80x9csecular humanismxe2x80x9dTo the Right: The Transformation of American Conservatism - Jerome L. Himmelstein - Google BooksBullseye saidOnly the most hard core pro-lifers don't accept abortion for rape or incest or if the mother's life is in danger.   Most polls I've seen have 10-20% bands on either end, e.g. no abortion EVER or Abort'r' Us shops on every corner.   Most, as I said are more reasonableClick to expand...",28,,Oregon,,0.44253246753246755,0.08571428571428572
