Poster,Content,Thread,Gender,Location,Political_leaning
Rudy,"Logician Man saidAn enity that puts political Party before Counry?Click to expand...I don't think so, I think that some Republicans have put party in fron of counry but not all of them. Right now there is a LOT of fear of Donald Trump in the GOP. Politicians know that if they go against him he will make it his mission to talk crap about them in the future.",7,Male,"N. East of the counry, the educated part",Cenrist
Logician Man,"eohrnberger saidYou appear to be having trouble here.  Allow me to help you out, out of the kindness in my heartThe hypothesis was if Trump were to declassify the documens which already exist and documen the pastThe'We all know' was specific to the facts already documened and public.  Go Google it for yourself.  They are there for you to find, if you cClick to expand...Rudy saidI don't think so, I think that some Republicans have put party in fron of counry but not all of them. Right now there is a LOT of fear of Donald Trump in the GOP. Politicians know that if they go against him he will make it his mission to talk crap about them in the future.Click to expand...yeah, Rudy. I certainly didn't mean to imply that as a blanket statemen for all GOPers. I was primarily talking about politicians, not private citizens.",7,Male,Where I'm Needed,Independen
Rudy,"Logician Man saidyeah, Rudy. I certainly didn't mean to imply that as a blanket statemen for all GOPers. I was primarily talking about politicians, not private citizens.Click to expand...Gotcha.Have you heard of the new hashtag on Twiter?Trump dubbed #WhiteHouseKaren after election rage tweet",7,Male,"N. East of the counry, the educated part",Cenrist
Rawley,Logician Man saidTrump's refusal to participate in a smooth transition indicates otherwise.Click to expand...Clinon refused to participate in a smooth transition,7,,,Conservative
iguanaman,"Rawley saidClinon refused to participate in a smooth transitionClick to expand...LOL Clinon was not Presiden. Obama made every effort for a ""smooth transition"". He congratulated the one term mistake and invited him to the Whitehouse on Nov. 11 2016.",7,Male,Florida,Liberal
Inegrityrespec,"Logician Man saidAn enity that puts political Party before Counry?Click to expand...Unbelievably dumb statemen.  Do you watch what the left does, the dem supporters do?   Have you seen tape of Portland, Seatle, NYC, Mineapolis, Chicago and the rest of the pitiful democrat run cities where rioting, looting, arson, assault are apparenly not criminal behavior?  If you are  dem supporter in a dem run city anything goes and you know it.  The democrats are out to ruin America.  They wan power to achieve their corrupt end.    No reasonable ratiional person would be supporting what is going on in those cities.  So why do democrats support it, corrupt",7,Male,,
Rawley,"iguanaman saidLOL Clinon was not Presiden. Obama made every effort for a ""smooth transition"". He congratulated the one term mistake and invited him to the Whitehouse on Nov. 11 2016.Click to expand...Clinon was Presiden.  He told the Bush transition team to **** themselves.  Well ino December.",7,,,Conservative
iguanaman,Rawley saidClinon was Presiden.  He told the Bush transition team to **** themselves.  Well ino December.Click to expand...That was a very close election decided by <500 votes in one State. Bush was not declared the winer for 37 days. That is no fault of Bill Clinon. Biden has been Presiden elect for over a week and still the one term mistake will not release transition funds.,7,Male,Florida,Liberal
bongsaway,Geoist saidIf kneeling is so disrespectful then why do religious people do it when they pray?Click to expand...Or a fallen comrade in combat? The right loves to make mounains out of molehills. In their minds everyone should think and act as they do. If you don't you're a commie loser.,7,Male,Flori-duh,Progressive
Rawley,iguanaman saidThat was a very close election decided by <500 votes in one State. Bush was not declared the winer for 37 days. That is no fault of Bill Clinon. Biden has been Presiden elect for over a week and still the one term mistake will not release transition funds.Click to expand...That's sweet.  He still told the Bush transition team to **** themselves unil mid December.,7,,,Conservative
Razoo,"FBI Is Investigating Erik Prince for Weaponizing Crop Dustersheinercept.com/2020/02/20/erik-prince-fbi...Feb 20, 2020xc2xb7 Prince has never been charged with a crime in the United States. But his career as a private security enrepreneur has been marked by atrocities like the murder of four Blackwater personel in...The Criminal Case Against Donald Trump Is in the Worksymag.com/inelligencer/article/donald-trump...Sep 14, 2020xc2xb7 No commander-in-chief has been charged with a criminal offense, let alone faced prison time. But if Donald Trump loses the election in November, he will forfeit not only a siting presidenxe2x80x99s...Trump is'owned by Putin' and has been'laundering money' for ...www.foxnews.com/media/donald-trump-russian-asset...Oct 24, 2019xc2xb7 Presiden Trump is a Russian asset who has laundered money for Vladimir Putin for decades, in order to save his struggling casinos, MSNBC's Dony Deutsch said on Thursday.Erik Prince Offered Lethal Services to Russian Mercenary Firmheinercept.com/2020/04/13/erik-prince-russia...Apr 13, 2020xc2xb7 Prince, who is the brother of Trump Education Secretary Betsy DeVos, met earlier this year with a top official of Russiaxe2x80x99s Wagner Group and offered his mercenary forces to support the firmxe2x80x99s ...Case For Trump Impeachmen Goes Beyond Ukrainhtps://slate.com/news-and-politics/2019/09/case-for-trump-impeachmen-goes-beyond-ukraine.htmlA presiden of the USA practicing Extortion which is a criminal offense should be prosecuted accordingly.A presiden of the USA requesting assistance from a foreign governmen that could impact an election is against the law. Threatening to withhold tax dollar subsidies if the foreign governmen refused is extortion which is a criminal offense which should be prosecuted accordingly. Impeachmen is the easy way out for Rump.Could be some conspiracy charges coming out of this as well and of course a certain amoun of perjury.PROSECUTE PERRY/Rudolph W. Giuliani/BOLTON, MULVANEY, BARR/POMPEO/ TRUMP/KAVANAUGH/McConell! NOW!",7,,,
iguanaman,Rawley saidThat's sweet.  He still told the Bush transition team to **** themselves unil mid December.Click to expand...Again the winer was not declared. Big difference. Mr. loser canot even perform the most basic duties of a U.S. Presiden,7,Male,Florida,Liberal
Rogue Valley,"Trump has history of calling election'rigged' if he doesnxe2x80x99t like the result11/11/20It's been over a week since the polls closed on Election Day, and a few days since Presiden-elect Joe Biden was declared the winer of the 2020 presidenial race, and still, Presiden Donald Trump has not accepted the results of the election. What Trump has done is coninue to double down on his claims that this year's election was ""rigged"" and there were massive amouns of voter fraud nationwide that cost him his victory. There is no truth to the claims that there was widespread voter fraud in the election, yet the Trump campaign and the Republican National Commitee are pursuing lawsuits in several states claiming that there was. Despite their complains, they have not provided any evidence of fraud or corroborated any of the presiden's claims.  This is not the first time Trump has made claims about election fraud when the results do not please him. It has been a part of his playbook for years -- long before he enered politics.  On election night in 2012, when Presiden Barack Obama was reelected, Trump said that the election was a ""total sham"" and a ""travesty,"" while also making the claim that the United States is ""not a democracy"" after Obama secured his victory.  Trump even wrote on Twiter, ""We can't let this happen. We should march on Washington and stop this travesty. Our nation is totally divided!When he ran to become the Republican Party nominee in 2016, he atempted to cast doubt on the election process. Trump said he did not lose the Iowa caucuses in 2016 to then candidate Sen. Ted Cruz, because he ""stole it."" In October 2016, just weeks before the general election, Trump waned to cast doubt on the results by tweeting, ""The election is absolutely being rigged by the dishonest and distorted media pushing Crooked Hillary - but also at many polling places - SAD,"" without providing any evidence for the claim. For monhs since his rally on Aug. 17 in Oshkosh, Wisconsin -- when he famously said, ""The only way we're going to lose this election is if the election is rigged"" -- Trump has been atempting to cast doubt on the American electoral process. Trump coninued to atack mail-in ballots and absenee ballots well ino the fall monhs so that when the ballots were to be tabulated, he could cast doubt and speculate that he was the victim of fraud due to the vote-by-mail system. Trump has stuck to this playbook for years; however, his claims have never prompted a meaningful change in the election process. This time, the presiden is taking his claims through the legal system with no evidence to back them up.Click to expand...Due to Trump's highly flawed personality profile (narcissist/psychopath), he just can't come to terms with losing at anything.",8,Male,,Independen
calamit,"Rogue Valley saidTrump has history of calling election'rigged' if he doesnxe2x80x99t like the resultDue to Trump's highly flawed personality profile (narcissist/psychopath), he just can't come to terms with losing at anything.Click to expand...It's mean to stir up disconen and rally the haters, fools and morons.Case in poin htps://twiter.com/i/web/status/1326566907709829120",8,,,Cenrist
Mr Person,"2016 is probably the only election he hasn't called rigged.Oh wait, nope, he did claim that millions of illegals were allowed to vote in order to make him look bad. Even the one he won was rigged.",8,Male,Massachuset,Other
Quag,"Casper saidGarunee that Rudy will be at the top of Trump's pardon list, right after himself and his family, I only wonder if he will even remember to include Pence.Click to expand...Nah Trump won bother once Rudy is of no more use tohm he will forget he exists.",9,Male,Eart,
jcgriff2,"The AniDonald saidI seem to remember Trump being forced to pay back 25 million he stole from his Trump university studens.  He also had to shut down his foundation paying out 2 million plus and agreeing to never being involved in any charity organizationThey are civil losses in a court of law.  The man is a thief and a fraud, it's quite obvious.Click to expand...If you wan to get ino lawsuits regarding Biden and teen girls, I'm game.Of course had hundreds if not thousands of civil court cases over the years. He won the majority of them.",9,Male,New Jersey Shore,Conservative
CaughtInThe,I WANT Trump to show his ass all the way to inauguration day.,9,,,
CaughtInThe,The AniDonald saidI seem to remember Trump being forced to pay back 25 million he stole from his Trump university studens. He also had to shut down his foundation paying out 2 million plus and agreeing to never being involved in any charity organizationClick to expand...And he's supported by men who will be in church today.,9,,,
The AniDonald,CaughtInThe saidAnd he's supported by men who will be in church today.Click to expand...Mind boggling !!!!!,9,Male,N. Virginia,Slightly Liberal
calamit,CaughtInThe saidAnd he's supported by men who will be in church today.Click to expand...Ironic is it not,9,,,Cenrist
Cameron,Glowpun saidTrump has appoined Rudy as head counsel along with a bunch of other lawyers claiming that the election was neither free or fair to Trump because Trump lost the electionWhen will this begin and any takes as to how this will all come outClick to expand...The deranged leading the deranged.,9,,,Moderat
The AniDonald,"jcgriff2 saidIf you wan to get ino lawsuits regarding Biden and teen girls, I'm game.Of course had hundreds if not thousands of civil court cases over the years. He won the majority of them.Click to expand...There is clearly something wrong with a guy that's been involved in thousands of civil suits, win or lose.",9,Male,N. Virginia,Slightly Liberal
rickc,Trump just wans to keep his racist redneck base fired up.Must say it is working fabulouslyWhat a bunch of idiot,9,,,
calamit,"The AniDonald saidThere is clearly something wrong with a guy that's been involved in thousands of civil suits, win or lose.Click to expand...The weird thing is that his ""base"" claims that they oppose frivolous lawsuits. They also oppose foreign imports, but all their MAGA garb is made in China.Go figure.",9,,,Cenrist
less right,"jcgriff2 saidIf you wan to get ino lawsuits regarding Biden and teen girls, I'm game.Of course had hundreds if not thousands of civil court cases over the years. He won the majority of them.Click to expand...First you wan to deflect to Biden. Typical.Then you provide a made up ""fact"". You have no idea whether Trump won his suits or not. Most came with NDA's to hide those numbers.The more you talk the more you destroy your own credibility. You should follow Mark Twain's advice and quit removing all doubt",9,Male,Northern Utah,
WillyPet,"jcgriff2 said""Documened""...? WHERE?You are delusional.Nothing to be found in any court records that Trump was convicted of fraud or theftNow as for Biden, a/k/a ""the big man"" who gets 10% of every Huner deal -- you definitely have something there.Click to expand...Yes, he got away with his scams in Atlanic City, and it only cost him his creditThey are apparenly going to finally demolish one of his abandoned, busted-out eyesores in AC a week or so after the inauguration",9,Male,,Independen
SCrider,"The AniDonald saidThere is clearly something wrong with a guy that's been involved in thousands of civil suits, win or lose.Click to expand...I thought that it was a strange thing for him to put in the Pro-Trump column",9,,,Slightly Liberal
CaughtInThe,calamity saidIronic is it notClick to expand... I've known these people forever. It stopped surprising me 30 years ago.,9,,,
bongsaway,"jcgriff2 saidInvestigators investigate things that have already happened, right? Or did your brillian brain inven a device for us to know about future crimes that may be commited? I DOUBT IT HIGHLY!For your info, a pardon covers all alleged criminal activity one has commited up to the poin of the pardon being issued and includes your enire life, depending on the way the pardon is writenWTF do you people wan now - to convict the enire GOP of future crimes that MAY be commited?That is asinine.Click to expand...That would be great, good idea. Argue all you wish but it is a historic fact that going back as far as nixon and carter the republican administrations have had almost one hundred percen more people convicted and senenced to prison terms. It's something like two hundred r's and maybe three dems over the years. The denial in the gop is strong. If my party was that corrupt I would try not to look at it myself. This is what gop supporters support a bunch of crooks decade after decade.",9,Male,Flori-duh,Progressive
Checkerboard Strangler,"jcgriff2 saidI hope so.Along with EVERY employee and lawyer for the Trump Organization and Kushner Corporation and anyone else Trump et al can think may need protection from the endless and poinless democratic investigations that will get underway in January.Click to expand...Endless and poinless...hmmm.How eager they are to have the POLITICAL equivalen of an American ""El Chapo"".",9,Male,Los Angeles,
Checkerboard Strangler,"jcgriff2 saidIf you wan to get ino lawsuits regarding Biden and teen girls, I'm game.Of course had hundreds if not thousands of civil court cases over the years. He won the majority of them.Click to expand... Bring on all the tropes about Biden and teen girls you like.Have fun as you do the second stupidest thing imaginable.",9,Male,Los Angeles,
jnug,"Just heard Rudi's ""proof"" of fraud on Fox News. Rudy has proof of nothing. Get thee to a detox Rudy. You might once again make sense on the other side of that",9,,,
Rudy,"Glowpun saidTrump has appoined Rudy as head counsel along with a bunch of other lawyers claiming that the election was neither free or fair to Trump because Trump lost the electionWhen will this begin and any takes as to how this will all come outClick to expand...LOL the people Trump put on his ""counsel"" (including his wife by the way) are a joke. Guiliani was a fine mayor of NYC, I lived there when he was in power. But he has completely lost his mind and now of course we know he is a pedophile.",9,Male,"N. East of the counry, the educated part",Cenrist
Daqueef,Glowpun saidTrump has appoined Rudy as head counsel along with a bunch of other lawyers claiming that the election was neither free or fair to Trump because Trump lost the electionWhen will this begin and any takes as to how this will all come outClick to expand...Rudy hasnxe2x80x99t practiced law since 1989 and hexe2x80x99s about to be the head of an election litigation team? My god man...,9,,,
ElChupacabra,CaughtInThe saidI WANT Trump to show his ass all the way to inauguration day.Click to expand...Do you really?,9,Male,The Garden Stat,
joluot,calamity saidWhen did Rudy begin resembling the PenguinClick to expand...He always did.,9,Male,,Progressive
joluot,US&THEM saidWill his HQ be at the Four Seasons Total Landscaping?Click to expand...Yes.,9,Male,,Progressive
post,"Glowpun saidTrump has appoined Rudy as head counsel along with a bunch of other lawyers claiming that the election was neither free or fair to Trump because Trump lost the electionWhen will this begin and any takes as to how this will all come outClick to expand...Giuliani associate paid $1 million by indicted Ukrainian ...www.reuters.comxe2x80xba articlexe2x80xba us-usa-trump-giuliani-parn...17 Dec 2019xe2x80x94 U.S. prosecutors said in court on Tuesday that Lev Parnas, an ... $1 million paymen from a lawyer for Ukrainian oligarch Dmytro Firtash. ... A spokesman for diGenova & Toensing, a law firm that represens Firtash, said the firm ...Yup! Trump anounced he is ""sending in the clowns!Lawyers for Ukrainian oligarch have another clien: The ...www.politico.comxe2x80xba newsxe2x80xba 2019/10/24xe2x80xba ukraine-oliga...24 Oct 2019xe2x80x94 Conservative legal duo Joe diGenova and Victoria Toensing represen gas tycoon Dmitry Firtash as well as the writer John Solomon. John ...Here's Why Republicans Stopped Talking About a Uranium Onwww.motherjones.comxe2x80xba politicsxe2x80xba 2018/03xe2x80xba heres-wh...8 Mar 2018xe2x80x94 ... R-Iowa, isn't talking about that Uranium One whistleblower anymore. ... Campbell's new claims came after he hired Victoria Toensing, ... htps://twiter.com/i/web/status/1327989713786036227CONVERGENCE: MUELLER OBSTRUCTION, UKRAINIAN FAVORS, AND DOJxe2x80x99S ALTERED DOCUMENTSNovember 15, 2020/41 Commens/in 2016 Presidenial Election, 2020 Presidenial Election, Impeachmen, Mueller Probe /by emptywheel""Amid uncorrected false claims about election results and tweets inciting violence in DC, Donald Trump tweeted this last nightAfter respectable law firms withdrew in AZ and PA, Trumpxe2x80x99s legal team is now down to Rudy, DiGenova and Toensing, Sidney Powell, and Jena Ellis, along witxe2x80x9cother wonderful lawyersxe2x80x9d whom he did not name..........But itxe2x80x99s worth focusing on the relationship between Jena Ellis and Powell. As I have noted repeatedly, when Judge Emmet Sullivan asked Powell whether she had been in direct conact with Trump about Mike Flynxe2x80x99s case, she not only confessed to that, but also admited multiple conacts with Trumpxe2x80x99s campaign lawyer, Ellis. That means Ellis is directly implicated in whatever effort there was to alter documens to launch a false atack on Joe Biden, one inimately tied to DOJxe2x80x99s false excuses (that the investigation was primarily about the Logan Act) for waning to blow up the Flyn prosecutionThat is, the effort to throw out the Mike Flyn prosecution (about which the lawyers have mostly gone silen, post-election) was all part of an effort to obtain power via illegitimate means. And still is.Fireworks spell out'Trump,'2020' over Washington Monumen ...www.foxnews.comxe2x80xba politicsxe2x80xba fireworks-spell-out-trump-...28 Aug 2020xe2x80x94 US Presiden Donald Trump (2nd L), First Lady Melania Trump (L) and family members stand to watch fireworks after the presiden delivered ...",9,,,
rickc,Daqueef saidRudy hasnxe2x80x99t practiced law since 1989 and hexe2x80x99s about to be the head of an election litigation team? My god man...Click to expand...,9,,,
Robertinfremon,"Ikari saidThe People already voted for Biden. Maybe you missed that partClick to expand...If you respect the people, let the process conclude. Biden could  not perform Presidens duties even were Trump to concede.  Trump remains the presiden for more than two monhs at the minimum.",10,Male,"Meridian, Idaho",Cenrist
vegas gian,Robertinfremon saidCrazy you call me?  I simply said my belief and got atacked by a person who who appears to be angry.I put no stock at all on the democrats posting here. The people will make Trump winClick to expand...You know you got this wrong......right?  Lol,10,,,
vegas gian,"Robertinfremon saidIf you respect the people, let the process conclude. Biden could  not perform Presidens duties even were Trump to concede.  Trump remains the presiden for more than two monhs at the minimum.Click to expand...So you are saying at the end of this trump will be the presiden.....right",10,,,
Ikari,"Robertinfremon saidIf you respect the people, let the process conclude. Biden could  not perform Presidens duties even were Trump to concede.  Trump remains the presiden for more than two monhs at the minimum.Click to expand...The process did conclude, Biden won. The States will certify the results, the electors will be chosen, Biden will be sworn in on Jan 20. That's how it goes.",10,Male,Colorado,Libertarian - Left
Robertinfremon,"jnug saidThe fundamenal building block of The Proud Boys is Male Chauvinism. They are closely allied with White Supremacists because their schtick is simply a slightly differen Victimization Narrative. For the Proud Boys its the suppression of men by women and for White Supremacists its the denial of White Privilege. The two groups mingle, with members easily moving between both groups, atending the same evens and spewing what is basically the same crap.It is not at all a surprise that they have in both cases adopted Donald as their idol.Click to expand... None of that makes any sense. Are you a member of the group you call the Proud Boys?  Trump has served as a very good presiden. Democrats wen nuts when he was elected and still seem to me to be still nuts he stays in office.You claim there is white privilege? Who awards this to whites?  Seriously, do Democrats gran the award of white privilege. This is pure propaganda.",10,Male,"Meridian, Idaho",Cenrist
Robertinfremon,vegas gians saidSo you are saying at the end of this trump will be the presiden.....rightClick to expand...Why did you say that,10,Male,"Meridian, Idaho",Cenrist
elemen94,'m still watching... I don't see a win... hello... anyone here?,10,Male,Pensylvania,Liberal
vegas gian,Robertinfremon saidWhy did you say thatClick to expand...I refuse to allow you to answer my question.   Lol,10,,,
less right,"Robertinfremon saidIf you respect the people, let the process conclude. Biden could  not perform Presidens duties even were Trump to concede.  Trump remains the presiden for more than two monhs at the minimum.Click to expand...What process is that1. Let the people vot2. Go to court to have the people's votes thrown out",10,Male,Northern Utah,
Robertinfremon,"Ikari saidThe process did conclude, Biden won. The States will certify the results, the electors will be chosen, Biden will be sworn in on Jan 20. That's how it goes.Click to expand...You put the word WILL in your commen and named a date in the future. Some here act like Trump no longer is our presiden. Watch Trump keep doing presiden's duties and expand what he has done to date.",10,Male,"Meridian, Idaho",Cenrist
Ikari,Robertinfremon saidYou put the word WILL in your commen and named a date in the future. Some here act like Trump no longer is our presiden. Watch Trump keep doing presiden's duties and expand what he has done to date.Click to expand...Trump is Presiden unil Biden is sworn in on Jan 20. That's how this works. He's got like 2 more monhs. Then we can bitch about Biden for 4 years.,10,Male,Colorado,Libertarian - Left
vegas gian,Robertinfremon saidYou put the word WILL in your commen and named a date in the future. Some here act like Trump no longer is our presiden. Watch Trump keep doing presiden's duties and expand what he has done to date.Click to expand...You put the word will in the op.  Lol,10,,,
Robertinfremon,less right saidWhat process is that1. Let the people vot2. Go to court to have the people's votes thrown outClick to expand...By law Biden is not eligible to do the duty of being presiden today. Trump is the presiden,10,Male,"Meridian, Idaho",Cenrist
vegas gian,Robertinfremon saidBy law Biden is not eligible to do the duty of being presiden today. Trump is the presidenClick to expand...Uh..........duh.  lol,10,,,
Robertinfremon,Ikari saidTrump is Presiden unil Biden is sworn in on Jan 20. That's how this works. He's got like 2 more monhs. Then we can bitch about Biden for 4 years.Click to expand...Providing Trump loses all of his court cases that allow him to win. We need not bitch about Biden since he is not the Presiden today.,10,Male,"Meridian, Idaho",Cenrist
Ikari,"Robertinfremon saidProviding Trump loses all of his court cases that allow him to win. We need not bitch about Biden since he is not the Presiden today.Click to expand...There hasn't be any actual evidence of massive voter fraud and the vast majority of Trump's cases have already been tossed. And if you noticed my post, I said ""Then we can..."" Then means something that comes after the previous statemen. And the previous statemen was that Biden will be sworn in on Jan 20. So when Biden is sworn in, we get to bitch about him for 4 years. 8 if the GOP ****s up too much between then and now.",10,Male,Colorado,Libertarian - Left
Robertinfremon,"vegas gians saidYou put the word will in the op.  LolClick to expand...Look at  the date.Thread starterRobertinfremonStart dateSep 22, 2020",10,Male,"Meridian, Idaho",Cenrist
vegas gian,"Robertinfremon saidLook at  the date.Thread starterRobertinfremonStart dateSep 22, 2020Click to expand...Yep.  So you were wrong.HAHAHAHAHA",10,,,
Robertinfremon,"Ikari saidThere hasn't be any actual evidence of massive voter fraud and the vast majority of Trump's cases have already been tossed. And if you noticed my post, I said ""Then we can..."" Then means something that comes after the previous statemen. And the previous statemen was that Biden will be sworn in on Jan 20. So when Biden is sworn in, we get to bitch about him for 4 years. 8 if the GOP ****s up too much between then and now.Click to expand...Why did you limit this to fraud by voters?  Are you one of the pretenders claiming Trump has no cases at the Courts?I need no lessons in English. I can use some in speaking German though and in speaking spanish.",10,Male,"Meridian, Idaho",Cenrist
Robertinfremon,vegas gians saidYep.  So you were wrong.HAHAHAHAHAClick to expand... Millions of Americans joined me. More than 70 million of loyal Americans in fact,10,Male,"Meridian, Idaho",Cenrist
vegas gian,Robertinfremon saidMillions of Americans joined me. More than 70 million of loyal Americans in factClick to expand...Yeah.  They were wrong too.HAHAHAHAHA,10,,,
post,"Robertinfremon saidWhy did you limit this to fraud by voters?  Are you one of the pretenders claiming Trump has no cases at the Courts?I need no lessons in English. I can use some in speaking German though and in speaking spanish.Click to expand...Trump admits he ""has no cases at the Courts"". He's resorted to circus performers.Giuliani associate paid $1 million by indicted Ukrainian ...www.reuters.comxe2x80xba articlexe2x80xba us-usa-trump-giuliani-parn...17 Dec 2019xe2x80x94 U.S. prosecutors said in court on Tuesday that Lev Parnas, an ... $1 million paymen from a lawyer for Ukrainian oligarch Dmytro Firtash. ... A spokesman for diGenova & Toensing, a law firm that represens Firtash, said the firm ...Yup! Trump anounced he is ""sending in the clowns!Lawyers for Ukrainian oligarch have another clien: The ...www.politico.comxe2x80xba newsxe2x80xba 2019/10/24xe2x80xba ukraine-oliga...24 Oct 2019xe2x80x94 Conservative legal duo Joe diGenova and Victoria Toensing represen gas tycoon Dmitry Firtash as well as the writer John Solomon. John ...Here's Why Republicans Stopped Talking About a Uranium Onwww.motherjones.comxe2x80xba politicsxe2x80xba 2018/03xe2x80xba heres-wh...8 Mar 2018xe2x80x94 ... R-Iowa, isn't talking about that Uranium One whistleblower anymore. ... Campbell's new claims came after he hired Victoria Toensing, ... htps://twiter.com/i/web/status/1327989713786036227CONVERGENCE: MUELLER OBSTRUCTION, UKRAINIAN FAVORS, AND DOJxe2x80x99S ALTERED DOCUMENTSNovember 15, 2020/41 Commens/in 2016 Presidenial Election, 2020 Presidenial Election, Impeachmen, Mueller Probe /by emptywheel""Amid uncorrected false claims about election results and tweets inciting violence in DC, Donald Trump tweeted this last nightAfter respectable law firms withdrew in AZ and PA, Trumpxe2x80x99s legal team is now down to Rudy, DiGenova and Toensing, Sidney Powell, and Jena Ellis, along witxe2x80x9cother wonderful lawyersxe2x80x9d whom he did not name..........But itxe2x80x99s worth focusing on the relationship between Jena Ellis and Powell. As I have noted repeatedly, when Judge Emmet Sullivan asked Powell whether she had been in direct conact with Trump about Mike Flynxe2x80x99s case, she not only confessed to that, but also admited multiple conacts with Trumpxe2x80x99s campaign lawyer, Ellis. That means Ellis is directly implicated in whatever effort there was to alter documens to launch a false atack on Joe Biden, one inimately tied to DOJxe2x80x99s false excuses (that the investigation was primarily about the Logan Act) for waning to blow up the Flyn prosecutionThat is, the effort to throw out the Mike Flyn prosecution (about which the lawyers have mostly gone silen, post-election) was all part of an effort to obtain power via illegitimate means. And still is.Fireworks spell out'Trump,'2020' over Washington Monumen ...www.foxnews.comxe2x80xba politicsxe2x80xba fireworks-spell-out-trump-...28 Aug 2020xe2x80x94 US Presiden Donald Trump (2nd L), First Lady Melania Trump (L) and family members stand to watch fireworks after the presiden delivered ...",10,,,
Ikari,"Robertinfremon saidWhy did you limit this to fraud by voters?  Are you one of the pretenders claiming Trump has no cases at the Courts?I need no lessons in English. I can use some in speaking German though and in speaking spanish.Click to expand...Trump's lawsuits have been hucked out, he keeps trying to bring them, but they keep being thrown out because he has no basis for them. So it's all going to end, there's no proof or evidence or basis for lawsuits, Biden won. On Dec 14 the EC will vote, Biden has 306. 306>270, so that means he wins.There's no geting around it, come Jan 20 Biden will be sworn in",10,Male,Colorado,Libertarian - Left
jnug,"Robertinfremon saidNone of that makes any sense. Are you a member of the group you call the Proud Boys?  Trump has served as a very good presiden. Democrats wen nuts when he was elected and still seem to me to be still nuts he stays in office.You claim there is white privilege? Who awards this to whites?  Seriously, do Democrats gran the award of white privilege. This is pure propaganda.Click to expand...Whites bequeathed white privilege to themselves and then whine like stuck pigs when they are unable to take advanage of it. I am white. Always knew it gave me a leg up if not more than a leg up. Took advanage of it. The end.",10,,,
Tigerace117,Robertinfremon saidI put no stock at all on the democrats posting here. The people will make Trump winClick to expand...Trump lostWe watched him lose.,10,Male,Chicago,Independen
Checkerboard Strangler,Hey kids!Post your predictions for the final coun in the 2020 US Presidenial Election here!Do you think Trump will get more than 232? Post it here.Do you think Biden will pass 290? Post it here.,11,Male,Los Angeles,
Mycroft,"Checkerboard Strangler saidHey kids!Post your predictions for the final coun in the 2020 US Presidenial Election here!Do you think Trump will get more than 232? Post it here.Do you think Biden will pass 290? Post it here.Click to expand...At this poin, there are zero EC votes...for both candidates.But...if I HAD to guess (you know how much I hate guessing), I would say Trump will get at least 270 EC votes and Biden will get some number less than 270.",11,Male,,Conservative
d0gbreat,I predict 315 EC votes for Biden. That should leave tweety with 223.,11,Male,"Denon, Texas",Very Liberal
Mr Person,"I mean, it looks quite likely Biden will hit 306, though GA is really close, so maybe he'll finish with 290. Still, recouns typically don't change results.Remaining questions are- Possibility of catastrophic court inervenion that results in throwing out tons of Dem ballots.- Stealing with elector shenanigans in GOP-conrolled swing states.Cheating, basically. Or - assuming it's even possible given how many are couned - the nearly impossible situation in which all remaining votes are for Trump in a trend-reversal.Who knows? Maybe he'll lose his shit completely and nuke China before they finish couning. The guy was off his rocker with the lies last night",11,Male,Massachuset,Other
Fletch,"Mr Person saidI mean, it looks quite likely Biden will hit 306, though GA is really close, so maybe he'll finish with 290. Still, recouns typically don't change results.Remaining questions are- Possibility of catastrophic court inervenion that results in throwing out tons of Dem ballots.- Stealing with elector shenanigans in GOP-conrolled swing states.Cheating, basically. Or - assuming it's even possible given how many are couned - the nearly impossible situation in which all remaining votes are for Trump in a trend-reversal.Who knows? Maybe he'll lose his shit completely and nuke China before they finish couning. The guy was off his rocker with the lies last nightClick to expand...I don see how the courts will throw out any ballots.  Even if you could show 30,000 dead people voted in Wisconsin, you don know which votes were tied to the dead voters.",11,Male,Menor Ohio,Libertarian
res borrachos,Biden will end up with 290. Dony will end up with a losing number.,11,Female,New Englan,Moderat
Greenbeard,"Mr Person saidI mean, it looks quite likely Biden will hit 306, though GA is really close, so maybe he'll finish with 290. Still, recouns typically don't change results.Click to expand...Feels like cheating to answer at this poin, since there's obviously a correct answer and you just provided it",11,Male,"Cambridge, MA",Slightly Liberal
joko104,"Fletch saidI don see how the courts will throw out any ballots.  Even if you could show 30,000 dead people voted in Wisconsin, you don know which votes were tied to the dead voters.Click to expand...That is why voter fraud works. Once couned it can never be removed. The system was changed to maximize benefiting from that reality. An election division worker could non-stop run fake ballots thru the machine - and this all captured on video tape - but every one of those fake votes would still counUnless Republicans become even beter at stealing elections and voter frauds, the Republican Party is nothing but the opposite side of the same plutocratic authoritarian coin. I do not expect the Republican party to play by the new election rules. Christianity is a huge obstacle for one since lying and cheating is considered sinful.",11,,,
calamit,Trump will have nowhere near enough. Biden should top 300.,11,,,Cenrist
